Score,Metrics,Method
0.833825499,F1-Score,AE
0.834615387,F1-Score,AE
0.834262996,F1-Score,AE
0.830316602,F1-Score,AE
0.825636444,F1-Score,AE
0.824433767,F1-Score,AE
0.795330514,F1-Score,AE
0.777640872,F1-Score,AE
0.752339499,F1-Score,AE
0.336148077,F1-Score,AE
0.856207382,Recall,AE
0.846178704,Recall,AE
0.839717317,Recall,AE
0.839649344,Recall,AE
0.837817784,Recall,AE
0.832762907,Recall,AE
0.826135756,Recall,AE
0.824594203,Recall,AE
0.806641389,Recall,AE
0.776870101,Recall,AE
0.769696892,Recall,AE
0.502520441,Recall,AE
0.862356696,Precision,AE
0.845300405,Precision,AE
0.831991725,Precision,AE
0.837407037,Precision,AE
0.846374018,Precision,AE
0.833601319,Precision,AE
0.833472159,Precision,AE
0.836907819,Precision,AE
0.797187143,Precision,AE
0.788093191,Precision,AE
0.785987804,Precision,AE
0.252544581,Precision,AE
0.961018755,AUC,AE
0.963799657,AUC,AE
0.966478992,AUC,AE
0.96738091,AUC,AE
0.953101885,AUC,AE
0.949007155,AUC,AE
0.941867158,AUC,AE
0.953435819,AUC,AE
0.860574433,AUC,AE
0.813045073,AUC,AE
0.917625177,AUC,AE
0.898905424,AUC,AE
0.781087521,MCC,AE
0.764311356,MCC,AE
0.75464963,MCC,AE
0.754727258,MCC,AE
0.752539948,MCC,AE
0.741437876,MCC,AE
0.736588773,MCC,AE
0.735705809,MCC,AE
0.700721583,MCC,AE
0.664381503,MCC,AE
0.656824961,MCC,AE
0,MCC,AE
0.778914687,Kappa,AE
0.762747477,Kappa,AE
0.752927149,Kappa,AE
0.752788666,Kappa,AE
0.748924611,Kappa,AE
0.739739786,Kappa,AE
0.733891252,Kappa,AE
0.731511428,Kappa,AE
0.696349558,Kappa,AE
0.661059745,Kappa,AE
0.640123808,Kappa,AE
0,Kappa,AE
0.849511829,Accuracy,VAE
0.849485398,Accuracy,VAE
0.849485398,Accuracy,VAE
0.846299758,Accuracy,VAE
0.844443382,Accuracy,VAE
0.842802908,Accuracy,VAE
0.836298391,Accuracy,VAE
0.826188391,Accuracy,VAE
0.816545417,Accuracy,VAE
0.809727449,Accuracy,VAE
0.774698501,Accuracy,VAE
0.741605395,Accuracy,VAE
0.84608678,F1-Score,VAE
0.844308487,F1-Score,VAE
0.844008731,F1-Score,VAE
0.842439558,F1-Score,VAE
0.838125267,F1-Score,VAE
0.834898783,F1-Score,VAE
0.824661131,F1-Score,VAE
0.817940653,F1-Score,VAE
0.780158188,F1-Score,VAE
0.804951436,F1-Score,VAE
0.773041542,F1-Score,VAE
0.696701387,F1-Score,VAE
0.849511829,Recall,VAE
0.849485398,Recall,VAE
0.849485398,Recall,VAE
0.846299758,Recall,VAE
0.844443382,Recall,VAE
0.842802908,Recall,VAE
0.836298391,Recall,VAE
0.826188391,Recall,VAE
0.816545417,Recall,VAE
0.809727449,Recall,VAE
0.774698501,Recall,VAE
0.741605395,Recall,VAE
0.857923589,Precision,VAE
0.856267011,Precision,VAE
0.856164611,Precision,VAE
0.847203539,Precision,VAE
0.849904151,Precision,VAE
0.837045414,Precision,VAE
0.845570676,Precision,VAE
0.827152685,Precision,VAE
0.756123651,Precision,VAE
0.813582187,Precision,VAE
0.77944041,Precision,VAE
0.748949679,Precision,VAE
0.966968445,AUC,VAE
0.965020919,AUC,VAE
0.96482982,AUC,VAE
0.95363347,AUC,VAE
0.96736337,AUC,VAE
0.959560767,AUC,VAE
0.873404354,AUC,VAE
0.954982207,AUC,VAE
0.942402546,AUC,VAE
0.93342438,AUC,VAE
0.794796607,AUC,VAE
0.932980503,AUC,VAE
0.768035279,MCC,VAE
0.768293372,MCC,VAE
0.768117807,MCC,VAE
0.762176099,MCC,VAE
0.760232579,MCC,VAE
0.756357916,MCC,VAE
0.747587069,MCC,VAE
0.730262282,MCC,VAE
0.712892589,MCC,VAE
0.707593404,MCC,VAE
0.652719602,MCC,VAE
0.598378311,MCC,VAE
0.765997897,Kappa,VAE
0.765512002,Kappa,VAE
