Epoch,AAE Train (Single Layer),AAE Validation (Single Layer),AAE Train (Two Layer),AAE Validation (Two Layer),AAE Train (Three Layer),AAE Validation (Three Layer)
83,13.02288479,13.02958164,12.96104165,12.96818852,12.95984727,12.96600571
84,13.0217999,13.02853571,12.96099662,12.9681458,12.95969458,12.96583811
85,13.02074493,13.02751937,12.96095421,12.9681032,12.95953086,12.96565904
86,13.01971904,13.02652931,12.96091241,12.96806323,12.95935376,12.96546674
87,13.01872116,13.02556652,12.96087245,12.96802399,12.95916184,12.96525662
88,13.0177491,13.02462809,12.96083381,12.96798509,12.95895208,12.96502625
89,13.01680346,13.02371441,12.96079595,12.96794736,12.9587207,12.96477111
90,13.01588225,13.02282675,12.96075868,12.967913,12.95845983,12.96447491
91,13.01498395,13.02195918,12.96072241,12.96787707,12.95814335,12.96406969
92,13.01410934,13.02111525,12.96068761,12.96784325,12.95769493,12.96354412
93,13.01325748,13.02029157,12.96065331,12.96780827,12.95721674,12.96303351
94,13.01242608,13.01948941,12.96061998,12.96777627,12.95671584,12.96245414
95,13.01161641,13.01870676,12.96058861,12.96774468,12.95611933,12.96173607
96,13.0108261,13.01794426,12.96055659,12.96771414,12.95532763,12.96074181
97,13.01005516,13.01719852,12.96052672,12.96768382,12.95432134,12.95959909
98,13.00930168,13.01647186,12.96049612,12.96765445,12.9530922,12.95788701
99,13.0085676,13.01576175,12.96046774,12.96762562,12.95108861,12.95552542
100,13.00785143,13.0150688,12.96043929,12.96759796,12.94887819,12.95295881
