Score,Metrics,Method
0.789699606,Precision,AE
0.839905037,Precision,AE
0.836366383,Precision,AE
0.840472638,Precision,AE
0.746310618,Precision,AE
0.859008979,Precision,AE
0.252544581,Precision,AE
0.850238174,Precision,AE
0.837846926,Precision,AE
0.807349618,AUC,AE
0.95090161,AUC,AE
0.955327415,AUC,AE
0.864452478,AUC,AE
0.946842693,AUC,AE
0.967293009,AUC,AE
0.965677556,AUC,AE
0.893950606,AUC,AE
0.960208241,AUC,AE
0.894969641,AUC,AE
0.962569326,AUC,AE
0.94300982,AUC,AE
0.64600317,MCC,AE
0.728397686,MCC,AE
0.759413899,MCC,AE
0.687475871,MCC,AE
0.744104297,MCC,AE
0.748353876,MCC,AE
0.761307825,MCC,AE
0.556915862,MCC,AE
0.778832766,MCC,AE
0,MCC,AE
0.76761601,MCC,AE
0.739121068,MCC,AE
0.644567981,Kappa,AE
0.72151339,Kappa,AE
0.756889962,Kappa,AE
0.682026994,Kappa,AE
0.742212645,Kappa,AE
0.745936676,Kappa,AE
0.75976346,Kappa,AE
0.526008036,Kappa,AE
0.776731383,Kappa,AE
0,Kappa,AE
0.76589937,Kappa,AE
0.736612247,Kappa,AE
0.618071198,Accuracy,VAE
0.84781714,Accuracy,VAE
0.826517219,Accuracy,VAE
0.756825605,Accuracy,VAE
0.84956692,Accuracy,VAE
0.864622281,Accuracy,VAE
0.854552253,Accuracy,VAE
0.819728127,Accuracy,VAE
0.818208486,Accuracy,VAE
0.700291688,Accuracy,VAE
0.858009808,Accuracy,VAE
0.770023919,Accuracy,VAE
0.615547805,F1-Score,VAE
0.845557319,F1-Score,VAE
0.814863324,F1-Score,VAE
0.723934331,F1-Score,VAE
0.847862653,F1-Score,VAE
0.861324397,F1-Score,VAE
0.847564026,F1-Score,VAE
0.792838302,F1-Score,VAE
0.809264229,F1-Score,VAE
0.626441193,F1-Score,VAE
0.854722743,F1-Score,VAE
0.764040478,F1-Score,VAE
0.618071198,Recall,VAE
0.84781714,Recall,VAE
0.826517219,Recall,VAE
0.756825605,Recall,VAE
0.84956692,Recall,VAE
0.864622281,Recall,VAE
0.854552253,Recall,VAE
0.819728127,Recall,VAE
0.818208486,Recall,VAE
0.700291688,Recall,VAE
0.858009808,Recall,VAE
0.770023919,Recall,VAE
0.623886353,Precision,VAE
0.862901225,Precision,VAE
0.823671712,Precision,VAE
0.77438852,Precision,VAE
0.852060728,Precision,VAE
0.863706544,Precision,VAE
0.853672654,Precision,VAE
0.777992568,Precision,VAE
0.819820189,Precision,VAE
0.709309278,Precision,VAE
0.858731595,Precision,VAE
0.783519164,Precision,VAE
0.686939753,AUC,VAE
0.953384755,AUC,VAE
0.947600404,AUC,VAE
0.817678754,AUC,VAE
0.953036497,AUC,VAE
0.965117667,AUC,VAE
0.966988365,AUC,VAE
0.948772371,AUC,VAE
0.942676098,AUC,VAE
0.935775568,AUC,VAE
0.965405281,AUC,VAE
0.904261896,AUC,VAE
0.419960907,MCC,VAE
0.768797014,MCC,VAE
0.731137185,MCC,VAE
0.624741538,MCC,VAE
0.767697139,MCC,VAE
0.791835226,MCC,VAE
0.774947412,MCC,VAE
0.718727274,MCC,VAE
0.719084634,MCC,VAE
0.543270132,MCC,VAE
0.780962127,MCC,VAE
0.648543631,MCC,VAE
0.41692435,Kappa,VAE
0.762447117,Kappa,VAE
0.722451287,Kappa,VAE
0.593031464,Kappa,VAE
0.765762689,Kappa,VAE
0.78990215,Kappa,VAE
0.771727584,Kappa,VAE
0.709765533,Kappa,VAE
0.711307711,Kappa,VAE
0.454570667,Kappa,VAE
0.778409809,Kappa,VAE
0.64207994,Kappa,VAE
0.741637228,Accuracy,DAE
0.771502875,Accuracy,DAE
0.813116777,Accuracy,DAE
0.80818567,Accuracy,DAE
0.832939074,Accuracy,DAE
0.854595834,Accuracy,DAE
0.844553812,Accuracy,DAE
0.680283493,Accuracy,DAE
0.83475865,Accuracy,DAE
0.504146457,Accuracy,DAE
0.852846054,Accuracy,DAE
0.814728567,Accuracy,DAE
0.742790718,F1-Score,DAE
0.76797439,F1-Score,DAE
0.811123202,F1-Score,DAE
0.801198686,F1-Score,DAE
0.831822883,F1-Score,DAE
0.851305316,F1-Score,DAE
0.839633175,F1-Score,DAE
0.670103876,F1-Score,DAE
0.831761868,F1-Score,DAE
0.339647343,F1-Score,DAE
0.849356404,F1-Score,DAE
0.816011219,F1-Score,DAE
0.741637228,Recall,DAE
0.771502875,Recall,DAE
0.813116777,Recall,DAE
0.80818567,Recall,DAE
0.832939074,Recall,DAE
0.854595834,Recall,DAE
0.844553812,Recall,DAE
0.680283493,Recall,DAE
0.83475865,Recall,DAE
0.504146457,Recall,DAE
0.852846054,Recall,DAE
0.814728567,Recall,DAE
0.750980589,Precision,DAE
0.795615619,Precision,DAE
0.815137146,Precision,DAE
0.804705685,Precision,DAE
0.839051295,Precision,DAE
0.858108596,Precision,DAE
0.84320563,Precision,DAE
0.711641153,Precision,DAE
0.834213818,Precision,DAE
0.298476235,Precision,DAE
0.853027107,Precision,DAE
0.822143514,Precision,DAE
0.78846891,AUC,DAE
0.91524818,AUC,DAE
0.94869862,AUC,DAE
0.863703392,AUC,DAE
0.952837505,AUC,DAE
0.966353407,AUC,DAE
0.961979547,AUC,DAE
0.883494067,AUC,DAE
0.953923065,AUC,DAE
0.887530001,AUC,DAE
0.96518952,AUC,DAE
0.931948762,AUC,DAE
0.608052078,MCC,DAE
0.66674146,MCC,DAE
0.714407859,MCC,DAE
0.703489692,MCC,DAE
0.746153631,MCC,DAE
0.778319403,MCC,DAE
0.760026079,MCC,DAE
0.539968706,MCC,DAE
0.748203322,MCC,DAE
0.020056153,MCC,DAE
0.774930634,MCC,DAE
0.719862628,MCC,DAE
0.606206918,Kappa,DAE
0.654937999,Kappa,DAE
0.712754786,Kappa,DAE
0.700448256,Kappa,DAE
0.743256192,Kappa,DAE
0.776012275,Kappa,DAE
0.757805513,Kappa,DAE
0.518077759,Kappa,DAE
0.745975824,Kappa,DAE
0.004073639,Kappa,DAE
0.77311886,Kappa,DAE
0.718401351,Kappa,DAE
